,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.08
1,20,-1.0,199,4000,0.18
2,20,0.0,299,6000,0.13
3,20,0.0,399,8000,0.36
4,20,0.0,499,10000,0.47
5,20,0.0,599,12000,0.52
6,20,-2.0,699,14000,0.67
7,20,0.0,799,16000,0.85
8,20,2.0,899,18000,0.79
9,20,2.0,999,20000,1.06
10,20,2.0,1099,22000,0.95
11,20,0.0,1199,24000,0.96
12,20,1.0,1299,26000,1.09
13,20,2.0,1399,28000,1.25
14,20,2.0,1499,30000,1.02
15,20,1.0,1599,32000,1.12
16,20,1.0,1699,34000,1.09
17,20,2.0,1799,36000,1.16
18,20,2.0,1899,38000,1.32
19,20,1.0,1999,40000,1.23
20,20,1.0,2099,42000,1.23
21,20,1.0,2199,44000,1.14
22,20,2.0,2299,46000,1.29
23,20,1.0,2399,48000,1.16
24,20,1.0,2499,50000,1.29
25,20,1.0,2599,52000,1.26
26,20,0.0,2699,54000,1.32
27,20,1.0,2799,56000,1.3
28,20,1.0,2899,58000,1.4
29,20,1.0,2999,60000,1.42
30,20,2.0,3099,62000,1.35
31,20,2.0,3199,64000,1.36
32,20,2.0,3299,66000,1.26
33,20,2.0,3399,68000,1.26
34,20,1.0,3499,70000,1.41
35,20,0.0,3599,72000,1.35
36,20,2.0,3699,74000,1.31
37,20,2.0,3799,76000,1.33
38,20,2.0,3899,78000,1.34
39,20,0.0,3999,80000,1.24
40,20,2.0,4099,82000,1.44
41,20,2.0,4199,84000,1.42
42,20,1.0,4299,86000,1.39
43,20,2.0,4399,88000,1.39
44,20,2.0,4499,90000,1.32
45,20,1.0,4599,92000,1.48
46,20,2.0,4699,94000,1.36
47,20,1.0,4799,96000,1.46
48,20,2.0,4899,98000,1.48
49,20,2.0,4999,100000,1.31
